year,title,authors,journal,link,pdf,code,topic,method,context,sjr,if
2021,Fighting Zika With Honey: An Analysis of YouTube’s Video Recommendations on Brazilian YouTube,"Jonas Kaiser, Adrian Rauchfleisch, Yasodara Córdova",International Journal of Communication,https://ijoc.org/index.php/ijoc/article/view/14802,files/pub/2021_kaiser_int_j_commun.pdf,,Disinformation|Science Communication|Social Media,Text Analysis|Platform Data,Cross-national,0.8,2.3
2021,Public Sphere in Crisis Mode: How the COVID-19 Pandemic Influenced Public Discourse and User Behaviour in the Swiss Twitter-sphere,"Adrian Rauchfleisch, Daniel Vogler, Mark Eisenegger",Javnost - The Public,https://doi.org/10.1080/13183222.2021.1923622,files/pub/2021_rauchfleisch_javnost.pdf,,Politics|Social Media|Public Opinion,Text Analysis|Statistical modelling|Platform Data,Switzerland,0.5,1.4
2020,Beyond normalization and equalization on Twitter: Politicians’ Twitter use during non-election times and influences of media attention,"Adrian Rauchfleisch, Julia Metag",Journal of Applied Journalism & Media Studies,https://doi.org/10.1386/ajms_00021_1,files/pub/2020_rauchfleisch_j_appl_j_media_stud.pdf,,Politics|Social Media,Statistical modelling|Platform Data,Switzerland,0.4,1.3
2020,Birds of a Feather Get Recommended Together: Algorithmic Homophily in YouTube’s Channel Recommendations in the United States and Germany,"Jonas Kaiser, Adrian Rauchfleisch",Social Media + Society,https://doi.org/10.1177/2056305120969914,files/pub/2020_kaiser_soc_media_soc.pdf,,Politics|Disinformation|Social Media,Text Analysis|Platform Data,US|Germany,2.2,5.8
2020,Connecting the (Far-)Right Dots: A Topic Modeling and Hyperlink Analysis of (Far-)Right Media Coverage during the US Elections 2016,"Jonas Kaiser, Adrian Rauchfleisch, Nikki Bourassa",Digital Journalism,https://doi.org/10.1080/21670811.2019.1682629,files/pub/2020_kaiser_digit_j.pdf,,Politics|Disinformation|Journalism|Social Media,Text Analysis|Statistical modelling|Platform Data,US,2,6.6
2020,The False positive problem of automatic bot detection in social science research,"Adrian Rauchfleisch, Jonas Kaiser",PLOS ONE,https://doi.org/10.1371/journal.pone.0241045,files/pub/2020_rauchfleisch_plos_one.pdf,https://doi.org/10.7910/DVN/XVCKRS,Disinformation|Social Media,Statistical modelling|Platform Data,Cross-national,0.9,2.9
2020,The German Far-right on YouTube: An Analysis of User Overlap and User Comments,"Adrian Rauchfleisch, Jonas Kaiser",Journal of Broadcasting & Electronic Media,https://doi.org/10.1080/08838151.2020.1799690,files/pub/2020_rauchfleisch_j_broadcast_electron_media.pdf,,Politics|Disinformation|Social Media,Text Analysis|Platform Data,Germany,0.9,3.1
2020,Transnational News Sharing on Social Media: Measuring and Analysing Twitter News Media Repertoires of Domestic and Foreign Audience Communities,"Adrian Rauchfleisch, Daniel Vogler, Mark Eisenegger",Digital Journalism,https://doi.org/10.1080/21670811.2020.1835511,files/pub/2020_rauchfleisch_digit_j.pdf,,Journalism|Social Media|Public Opinion,Text Analysis|Platform Data,Switzerland|Germany|Cross-national,2,6.6
2020,Untangling Taiwan’s Hybridity With Structural Dysfunctions,"Adrian Rauchfleisch, Jo-yao Chi",Social Media + Society,https://doi.org/10.1177/2056305120947658,files/pub/2020_rauchfleisch_soc_media_soc.pdf,,Politics|Social Media,,Taiwan,2.2,5.8
2019,Integrating Concepts of Counterpublics into Generalised Public Sphere Frameworks: Contemporary Transformations in Radical Forms,"Jonas Kaiser, Adrian Rauchfleisch",Javnost - The Public,https://doi.org/10.1080/13183222.2018.1558676,files/pub/2019_kaiser_javnost.pdf,,Politics|Social Media,,,0.5,1.4
2019,State-aligned trolling in Iran and the double-edged affordances of Instagram,"Simin Kargar, Adrian Rauchfleisch",new media & society,https://doi.org/10.1177/1461444818825133,files/pub/2019_kargar_new_media_soc.pdf,,Politics|Disinformation|Social Media,Text Analysis|Platform Data,,3.6,8.9
2018,Between Fragmentation and Dialogue. Twitter Communities and Political Debate About the Swiss “Nuclear Withdrawal Initiative”,"Dorothee Arlt, Adrian Rauchfleisch, Mike S. Schäfer",Environmental Communication,https://doi.org/10.1080/17524032.2018.1430600,files/pub/2019_arlt_environ_commun.pdf,,Politics|Social Media|Public Opinion,Text Analysis|Statistical modelling|Platform Data,Switzerland,1.3,3.5
2018,Climate change politics and the role of China: a window of opportunity to gain soft power?,"Adrian Rauchfleisch, Mike S. Schäfer",International Communication of Chinese Culture,https://doi.org/10.1007/s40636-018-0114-9,files/pub/2018_rauchfleisch_int_commun_chin_cult.pdf,,Politics|Science Communication,,China,0.3,0.8
2018,"Digital astroturfing in politics: Definition, typology, and countermeasures","Marko Kovic, Adrian Rauchfleisch, Marc Sele, Christian Caspar",Studies in Communication Sciences,https://doi.org/10.24434/j.scoms.2018.01.005,files/pub/2018_kovic_stud_commun_sci.pdf,,Politics|Disinformation|Social Media|Public Opinion,,,0.4,1.2
2018,Structure and development of science communication research: co-citation analysis of a developing field,"Adrian Rauchfleisch, Mike S. Schäfer",Journal of Science Communication,https://doi.org/10.22323/2.17030207,files/pub/2018_rauchfleisch_j_sci_commun.pdf,,Science Communication,Text Analysis|Statistical modelling,Cross-national,0.6,1.9
2018,The different audiences of science communication: A segmentation analysis of the Swiss population’s perceptions of science and their information and media use patterns,"Mike S. Schäfer, Tobias Füchslin, Julia Metag, Silje Kristiansen, Adrian Rauchfleisch",Public Understanding of Science,https://doi.org/10.1177/0963662517752886,files/pub/2018_schafer_pus.pdf,,Science Communication|Public Opinion,Statistical modelling|Survey Data,Switzerland,1.5,4.1
2017,Brute force effects of mass media presence and social media activity on electoral outcome,"Marko Kovic, Adrian Rauchfleisch, Julia Metag, Christian Caspar, Julian Szenogrady",Journal of Information Technology & Politics,https://doi.org/10.1080/19331681.2017.1374228,files/pub/2020_kovic_soc_med_cam_europe.pdf,,Politics|Social Media|Public Opinion,Statistical modelling|Platform Data,Switzerland,0.8,2.6
2017,How journalists verify user-generated content during terrorist crises. Analyzing Twitter communication during the Brussels attacks,"Adrian Rauchfleisch, Xenia Artho, Julia Metag, Senja Post, Mike S. Schäfer",Social Media + Society,https://doi.org/10.1177/2056305117717888,files/pub/2017_rauchfleisch_soc_media_soc.pdf,,Journalism|Social Media,Text Analysis|Platform Data,Cross-national,2.2,5.8
2017,Journalists’ Use of Political Tweets: Functions for journalistic work and the role of perceived influences,"Julia Metag, Adrian Rauchfleisch",Digital Journalism,https://doi.org/10.1080/21670811.2016.1248989,files/pub/2017_metag_digit_j.pdf,,Journalism|Politics|Social Media,Statistical modelling|Survey Data|Platform Data,Switzerland,2,6.6
2017,The public sphere as an essentially contested concept: A co-citation analysis of the last 20 years of public sphere research,Adrian Rauchfleisch,Communication and the Public,https://doi.org/10.1177/2057047317691054,files/pub/2017_rauchfleisch_commun_public.pdf,,Politics,Text Analysis|Statistical modelling,Cross-national,0.4,1.1
2016,The Internet and Generalized Functions of the Public Sphere: Transformative Potentials From a Comparative Perspective,"Adrian Rauchfleisch, Marko Kovic",Social Media + Society,https://doi.org/10.1177/2056305116646393,files/pub/2016_rauchfleisch_soc_media_soc.pdf,,Politics|Social Media,Statistical modelling,Cross-national,2.2,5.8
2016,The special case of Switzerland: Swiss politicians on Twitter,"Adrian Rauchfleisch, Julia Metag",new media & society,https://doi.org/10.1177/1461444815586982,files/pub/2016_rauchfleisch_new_media_soc.pdf,,Politics|Social Media,Statistical modelling|Platform Data,Switzerland,3.6,8.9
2014,Multiple public spheres of Weibo: a typology of forms and potentials of online public spheres in China,"Adrian Rauchfleisch, Mike S. Schäfer","Information, Communication & Society",https://doi.org/10.1080/1369118X.2014.940364,files/pub/2015_rauchfleisch_inf_commun_soc.pdf,,Politics|Social Media,Text Analysis|Platform Data,China,1.8,5.3
2013,The Swiss “Tina Fey Effect”: The Content of Late-Night Political Humor and the Negative Effects of Political Parody on the Evaluation of Politicians,"Jörg Matthes, Adrian Rauchfleisch",Communication Quarterly,https://doi.org/10.1080/01463373.2013.822405,files/pub/2013_mathes_commun_q.pdf,,Politics|Public Opinion,Experiment|Statistical modelling|Text Analysis,Switzerland,0.6,2
